"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"35",2016,11,1," SAS"," UTA",91,106," UTA",15,"Away",33,38,76,76,6,15,20,31,19,15,21,18,4,2,30,37,34,39,19,22,6,5,5,8,9,10,15,20,0.534,0.632,0.474,0.599,101.4,118.1,118.1,101.4
"36",2016,11,1," POR"," GSW",104,127," GSW",23,"Away",37,50,86,89,14,10,39,26,16,17,21,23,6,7,26,38,32,45,23,36,12,14,4,4,18,16,17,19,0.546,0.641,0.512,0.618,98.8,120.6,120.6,98.8
"37",2016,11,2," ATL"," LAL",116,123," LAL",7,"Away",41,48,85,90,11,9,32,22,23,18,29,20,10,11,27,31,37,42,30,24,10,11,1,9,18,15,19,25,0.593,0.622,0.547,0.583,114.2,121.1,121.1,114.2
"38",2016,11,2," BRK"," DET",109,101," BRK",8,"Home",41,37,76,88,13,9,27,25,14,18,17,21,5,10,40,28,45,38,27,21,10,11,3,6,19,13,23,18,0.653,0.519,0.625,0.472,112,103.8,103.8,112
"39",2016,11,2," BOS"," CHI",107,100," BOS",7,"Home",41,35,87,81,14,7,32,20,11,23,17,31,10,15,29,34,39,49,28,21,10,7,4,7,12,19,24,19,0.566,0.528,0.552,0.475,112.5,105.1,105.1,112.5
"40",2016,11,3," CLE"," BOS",128,122," CLE",6,"Home",41,46,84,96,14,11,34,32,32,19,37,22,7,10,35,29,42,39,24,25,6,4,6,6,8,8,19,28,0.638,0.577,0.571,0.536,128.8,122.8,122.8,128.8
"41",2016,11,3," MIL"," IND",125,107," MIL",18,"Home",47,38,82,81,12,10,27,23,19,21,24,27,12,10,29,22,41,32,32,29,10,14,6,4,21,21,23,23,0.675,0.576,0.646,0.531,124.8,106.8,106.8,124.8
"42",2016,11,3," MIN"," DEN",99,102," DEN",3,"Away",35,39,88,81,9,6,22,22,20,18,25,25,14,7,29,37,43,44,20,24,8,10,4,2,16,20,22,24,0.5,0.554,0.449,0.519,98.7,101.6,101.6,98.7
"43",2016,11,3," GSW"," OKC",122,96," GSW",26,"Home",46,35,89,87,14,10,30,27,16,16,20,28,15,13,31,28,46,41,27,20,9,8,14,6,15,16,18,20,0.624,0.483,0.596,0.46,126,99.1,99.1,126
"44",2016,11,4," WAS"," ATL",95,92," WAS",3,"Home",31,32,80,83,5,5,20,25,28,23,35,36,11,10,35,37,46,47,13,22,7,12,3,3,19,18,23,24,0.498,0.465,0.419,0.416,93,90.1,90.1,93
"45",2016,11,4," BRK"," CHO",95,99," CHO",4,"Away",35,36,87,86,9,10,36,30,16,17,21,24,7,7,39,42,46,49,20,24,12,7,4,3,15,16,22,18,0.494,0.513,0.454,0.477,92.3,96.2,96.2,92.3
"46",2016,11,4," TOR"," MIA",96,87," TOR",9,"Home",37,34,84,88,6,9,25,28,16,10,18,15,13,12,37,31,50,43,14,19,7,10,5,5,15,13,16,22,0.522,0.46,0.476,0.438,104.2,94.5,94.5,104.2
"47",2016,11,4," CHI"," NYK",104,117," NYK",13,"Away",37,46,84,89,8,9,23,21,22,16,27,21,15,11,27,29,42,40,15,32,4,7,4,2,12,5,16,23,0.542,0.595,0.488,0.567,116.4,130.9,130.9,116.4
"48",2016,11,4," MEM"," LAC",88,99," LAC",11,"Away",31,32,84,85,9,8,26,27,17,27,22,33,13,11,35,36,48,47,26,19,4,17,9,6,18,11,28,23,0.47,0.497,0.423,0.424,92,103.5,103.5,92
"49",2016,11,4," DAL"," POR",95,105," POR",10,"Away",34,36,83,80,10,12,28,31,17,21,20,26,7,7,37,35,44,42,18,21,5,9,3,3,12,14,21,20,0.517,0.574,0.47,0.525,99.4,109.8,109.8,99.4
"50",2016,11,4," UTA"," SAS",86,100," SAS",14,"Away",30,37,80,83,11,6,26,20,15,20,24,22,9,9,33,40,42,49,15,17,7,9,4,8,12,11,19,25,0.475,0.539,0.444,0.482,93.5,108.7,108.7,93.5
"51",2016,11,4," LAL"," GSW",117,97," LAL",20,"Home",45,39,95,86,8,5,30,32,19,14,21,20,16,9,35,31,51,40,26,26,9,13,5,3,16,20,19,13,0.561,0.512,0.516,0.483,114.2,94.7,94.7,114.2
"52",2016,11,5," OKC"," MIN",112,92," OKC",20,"Home",45,33,86,84,7,4,16,19,15,22,24,29,11,17,30,24,41,41,24,12,9,7,9,8,12,17,21,19,0.58,0.475,0.564,0.417,120,98.6,98.6,120
"53",2016,11,5," DET"," DEN",103,86," DET",17,"Home",40,31,84,94,7,7,20,25,16,17,22,20,9,16,38,32,47,48,22,15,9,8,9,2,13,16,16,15,0.55,0.418,0.518,0.367,106.5,88.9,88.9,106.5
"54",2016,11,5," IND"," CHI",111,94," IND",17,"Home",46,34,86,79,12,6,26,18,7,20,12,25,8,13,28,27,36,40,27,17,8,8,9,5,11,16,20,13,0.608,0.522,0.605,0.468,122.1,103.4,103.4,122.1
"55",2016,11,5," ORL"," WAS",88,86," ORL",2,"Home",31,34,78,86,9,6,28,17,17,12,27,17,10,14,33,35,43,49,21,11,4,4,6,5,8,10,16,23,0.49,0.46,0.455,0.43,102.4,100.1,100.1,102.4
"56",2016,11,5," ATL"," HOU",112,97," ATL",15,"Home",45,37,85,85,8,12,20,36,14,11,24,13,13,12,31,31,44,43,29,22,17,9,6,7,19,26,13,26,0.586,0.535,0.576,0.506,110.4,95.7,95.7,110.4
"57",2016,11,6," NYK"," UTA",109,114," UTA",5,"Away",42,38,83,75,8,8,20,25,17,30,19,35,10,7,29,27,39,34,18,21,8,6,5,4,12,10,26,19,0.597,0.631,0.554,0.56,119.8,125.2,125.2,119.8
"58",2016,11,6," MEM"," POR",94,100," POR",6,"Away",31,32,81,71,6,14,26,33,26,22,32,27,12,5,32,32,44,37,15,19,9,7,5,5,13,15,20,25,0.494,0.603,0.42,0.549,102.5,109.1,109.1,102.5
